dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,rider_type,riders,yr,price,COGS,revenue,profit
1/1/2021,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0,casual,3,0,3.99,1.24,11.97,10.73
1/1/2021,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0,casual,8,0,3.99,1.24,31.92,30.68
1/1/2021,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0,casual,5,0,3.99,1.24,19.95,18.71
1/1/2021,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0,casual,3,0,3.99,1.24,11.97,10.73
1/1/2021,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0,casual,0,0,3.99,1.24,0,-1.24
1/1/2021,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0,casual,0,0,3.99,1.24,0,-1.24
1/1/2021,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0,casual,2,0,3.99,1.24,7.98,6.74
1/1/2021,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0,casual,1,0,3.99,1.24,3.99,2.75
1/1/2021,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0,casual,1,0,3.99,1.24,3.99,2.75
1/1/2021,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0,casual,8,0,3.99,1.24,31.92,30.68
1/1/2021,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0,casual,12,0,3.99,1.24,47.88,46.64
1/1/2021,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0,casual,26,0,3.99,1.24,103.74,102.5
1/1/2021,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0,casual,29,0,3.99,1.24,115.71,114.47
1/1/2021,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0,casual,47,0,3.99,1.24,187.53,186.29
1/1/2021,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0,casual,35,0,3.99,1.24,139.65,138.41
1/1/2021,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0,casual,40,0,3.99,1.24,159.6,158.36
1/1/2021,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0,casual,41,0,3.99,1.24,163.59,162.35
1/1/2021,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0,casual,15,0,3.99,1.24,59.85,58.61
1/1/2021,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0,casual,9,0,3.99,1.24,35.91,34.67
1/1/2021,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0,casual,6,0,3.99,1.24,23.94,22.7
1/1/2021,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0,casual,11,0,3.99,1.24,43.89,42.65
1/1/2021,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0,casual,3,0,3.99,1.24,11.97,10.73
1/1/2021,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0,casual,11,0,3.99,1.24,43.89,42.65
1/1/2021,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0,casual,15,0,3.99,1.24,59.85,58.61
2/1/2021,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0,casual,4,0,3.99,1.24,15.96,14.72
2/1/2021,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0,casual,1,0,3.99,1.24,3.99,2.75
2/1/2021,1,0,1,2,0,0,0,2,0.42,0.4242,1,0,casual,1,0,3.99,1.24,3.99,2.75
2/1/2021,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0,casual,2,0,3.99,1.24,7.98,6.74
2/1/2021,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0,casual,2,0,3.99,1.24,7.98,6.74
2/1/2021,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0,casual,0,0,3.99,1.24,0,-1.24
2/1/2021,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0,casual,0,0,3.99,1.24,0,-1.24
2/1/2021,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0,casual,0,0,3.99,1.24,0,-1.24
2/1/2021,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0,casual,1,0,3.99,1.24,3.99,2.75
2/1/2021,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0,casual,7,0,3.99,1.24,27.93,26.69
2/1/2021,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0,casual,16,0,3.99,1.24,63.84,62.6
2/1/2021,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0,casual,20,0,3.99,1.24,79.8,78.56
2/1/2021,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0,casual,11,0,3.99,1.24,43.89,42.65
2/1/2021,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0,casual,4,0,3.99,1.24,15.96,14.72
2/1/2021,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0,casual,19,0,3.99,1.24,75.81,74.57
2/1/2021,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0,casual,9,0,3.99,1.24,35.91,34.67
2/1/2021,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0,casual,7,0,3.99,1.24,27.93,26.69
2/1/2021,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0,casual,10,0,3.99,1.24,39.9,38.66
2/1/2021,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0,casual,1,0,3.99,1.24,3.99,2.75
2/1/2021,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0,casual,5,0,3.99,1.24,19.95,18.71
2/1/2021,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0,casual,11,0,3.99,1.24,43.89,42.65
2/1/2021,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0,casual,0,0,3.99,1.24,0,-1.24
2/1/2021,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0,casual,0,0,3.99,1.24,0,-1.24
3/1/2021,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0,casual,0,0,3.99,1.24,0,-1.24
3/1/2021,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0,casual,0,0,3.99,1.24,0,-1.24
3/1/2021,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0,casual,0,0,3.99,1.24,0,-1.24
3/1/2021,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0,casual,0,0,3.99,1.24,0,-1.24
3/1/2021,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0,casual,0,0,3.99,1.24,0,-1.24
3/1/2021,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0,casual,1,0,3.99,1.24,3.99,2.75
3/1/2021,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0,casual,1,0,3.99,1.24,3.99,2.75
3/1/2021,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0,casual,7,0,3.99,1.24,27.93,26.69
3/1/2021,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0,casual,11,0,3.99,1.24,43.89,42.65
3/1/2021,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0,casual,10,0,3.99,1.24,39.9,38.66
3/1/2021,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0,casual,13,0,3.99,1.24,51.87,50.63
3/1/2021,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0,casual,8,0,3.99,1.24,31.92,30.68
3/1/2021,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0,casual,11,0,3.99,1.24,43.89,42.65
3/1/2021,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0,casual,14,0,3.99,1.24,55.86,54.62
3/1/2021,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0,casual,9,0,3.99,1.24,35.91,34.67
3/1/2021,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0,casual,11,0,3.99,1.24,43.89,42.65
3/1/2021,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0,casual,9,0,3.99,1.24,35.91,34.67
3/1/2021,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0,casual,8,0,3.99,1.24,31.92,30.68
3/1/2021,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0,casual,3,0,3.99,1.24,11.97,10.73
3/1/2021,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0,casual,3,0,3.99,1.24,11.97,10.73
3/1/2021,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0,casual,0,0,3.99,1.24,0,-1.24
3/1/2021,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0,casual,1,0,3.99,1.24,3.99,2.75
4/1/2021,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0,casual,0,0,3.99,1.24,0,-1.24
4/1/2021,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0,casual,0,0,3.99,1.24,0,-1.24
4/1/2021,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0,casual,0,0,3.99,1.24,0,-1.24
4/1/2021,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0,casual,0,0,3.99,1.24,0,-1.24
4/1/2021,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0,casual,0,0,3.99,1.24,0,-1.24
4/1/2021,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0,casual,0,0,3.99,1.24,0,-1.24
4/1/2021,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0,casual,2,0,3.99,1.24,7.98,6.74
4/1/2021,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0,casual,2,0,3.99,1.24,7.98,6.74
4/1/2021,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0,casual,2,0,3.99,1.24,7.98,6.74
4/1/2021,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0,casual,5,0,3.99,1.24,19.95,18.71
4/1/2021,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0,casual,7,0,3.99,1.24,27.93,26.69
4/1/2021,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0,casual,12,0,3.99,1.24,47.88,46.64
4/1/2021,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0,casual,18,0,3.99,1.24,71.82,70.58
4/1/2021,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0,casual,9,0,3.99,1.24,35.91,34.67
4/1/2021,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0,casual,17,0,3.99,1.24,67.83,66.59
4/1/2021,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0,casual,15,0,3.99,1.24,59.85,58.61
4/1/2021,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0,casual,10,0,3.99,1.24,39.9,38.66
4/1/2021,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0,casual,3,0,3.99,1.24,11.97,10.73
4/1/2021,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0,casual,2,0,3.99,1.24,7.98,6.74
4/1/2021,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0,casual,1,0,3.99,1.24,3.99,2.75
4/1/2021,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0,casual,0,0,3.99,1.24,0,-1.24
4/1/2021,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0,casual,1,0,3.99,1.24,3.99,2.75
4/1/2021,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0,casual,2,0,3.99,1.24,7.98,6.74
5/1/2021,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0,casual,0,0,3.99,1.24,0,-1.24
5/1/2021,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0,casual,0,0,3.99,1.24,0,-1.24
5/1/2021,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0,casual,0,0,3.99,1.24,0,-1.24
5/1/2021,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0,casual,0,0,3.99,1.24,0,-1.24
5/1/2021,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0,casual,0,0,3.99,1.24,0,-1.24
5/1/2021,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0,casual,0,0,3.99,1.24,0,-1.24
5/1/2021,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0,casual,1,0,3.99,1.24,3.99,2.75
5/1/2021,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0,casual,3,0,3.99,1.24,11.97,10.73
5/1/2021,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0,casual,6,0,3.99,1.24,23.94,22.7
5/1/2021,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0,casual,4,0,3.99,1.24,15.96,14.72
5/1/2021,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0,casual,12,0,3.99,1.24,47.88,46.64
5/1/2021,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0,casual,5,0,3.99,1.24,19.95,18.71
5/1/2021,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0,casual,6,0,3.99,1.24,23.94,22.7
5/1/2021,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0,casual,10,0,3.99,1.24,39.9,38.66
5/1/2021,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0,casual,7,0,3.99,1.24,27.93,26.69
5/1/2021,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0,casual,4,0,3.99,1.24,15.96,14.72
5/1/2021,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0,casual,4,0,3.99,1.24,15.96,14.72
5/1/2021,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0,casual,3,0,3.99,1.24,11.97,10.73
5/1/2021,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0,casual,5,0,3.99,1.24,19.95,18.71
5/1/2021,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0,casual,7,0,3.99,1.24,27.93,26.69
5/1/2021,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0,casual,3,0,3.99,1.24,11.97,10.73
5/1/2021,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0,casual,1,0,3.99,1.24,3.99,2.75
5/1/2021,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0,casual,1,0,3.99,1.24,3.99,2.75
6/1/2021,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0,casual,0,0,3.99,1.24,0,-1.24
6/1/2021,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0,casual,0,0,3.99,1.24,0,-1.24
6/1/2021,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0,casual,0,0,3.99,1.24,0,-1.24
6/1/2021,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0,casual,0,0,3.99,1.24,0,-1.24
6/1/2021,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0,casual,0,0,3.99,1.24,0,-1.24
6/1/2021,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0,casual,0,0,3.99,1.24,0,-1.24
6/1/2021,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0,casual,0,0,3.99,1.24,0,-1.24
6/1/2021,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0,casual,3,0,3.99,1.24,11.97,10.73
6/1/2021,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0,casual,6,0,3.99,1.24,23.94,22.7
6/1/2021,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0,casual,3,0,3.99,1.24,11.97,10.73
